study,condition,qualification
study interventions are jm 3100, myelodysplastic myeloproliferative neoplasm unclassifiable diagnosis and hepatitis b seropositive,1
study interventions are vidarabine, synovial sarcoma diagnosis and history of severe immediate hypersensitivity reaction to any of the agents used in this study,1
study interventions are panobinostat, breast cancer diagnosis and brain metastases unless patient randomized on study at least ninety days from completion of brain radiotherapy and or surgery without radiologic or functional evidence of progressive brain metastases and off corticosteroids above the dose of doc mg prednisone or equivalent no concurrent radiotherapy for brain metastasis is allowed,1
study interventions are vidarabine, refractory multiple myeloma diagnosis and donors will be excluded if for medical or psychological reasons they are unable to tolerate the procedure of peripheral stem cell donation,1
study interventions are endothelial growth factors, fallopian tube endometrioid adenocarcinoma diagnosis and participant has clinically significant cardiovascular disease including,1
study interventions are bone marrow-sparing intensity-modulated radiotherapy, for rectal patients cases were excluded from the study if they had metastatic rectal cancer other tumour types than adenocarcinoma of the rectum prior pelvic irradiation,1
study interventions are antibodies, recurrent adult liver carcinoma diagnosis and exceptions allowed for patients unable to tolerate the agent intolerance is defined in this protocol as discontinued agent due to side effects with an exposure less_than to four weeks of drug at any dose level,1
study interventions are immunoglobulin g, stage ivb colorectal cancer diagnosis and participation in another clinical study with an investigational product during the last four weeks,1
study interventions are folic acid, rectal adenocarcinoma diagnosis and any therapeutic pelvic radiation,1
study interventions are amp-224, cancer diagnosis and history or evidence of hiv,1
study interventions are tasquinimod, prostate cancer diagnosis and use of an investigational agent within four weeks of day one visit or plans to initiate treatment with an investigational agent during the study,1
study interventions are postoperative injection (ex vivo), cancer located at the low rectum which were located within ten cm of the dentate recurrent or metastatic colon carcinoma adjacent organ invasion tumor prior chemotherapy or radiation cancer with intestinal obstruction past intestinal surgery,1
study interventions are faz053, anaplastic thyroid cancer diagnosis and treatment with cytotoxic or targeted antineoplastics within three weeks of initiation of study treatment,1
study interventions are mln0128, thyroid cancer diagnosis and manifestations of malabsorption due to prior gastrointestinal surgery or disease,1
study interventions are dasatinib, stage ivc verrucous carcinoma of the larynx diagnosis and patients may not be receiving any other investigational agents,1
study interventions are folic acid, stage ivb rectal cancer diagnosis and heart failure new york heart association classification iii or iv,1
study interventions are sl-801, solid tumors diagnosis and the patient has any medical condition which in the opinion of the investigator places the patient at an unacceptably high risk for toxicities,1
study interventions are ritonavir, cancer diagnosis and patients with known alcoholism drug addiction and or psychotic disorders in the history that are not suitable for adequate follow up,1
study interventions are endothelial growth factors, carcinoma non small cell lung diagnosis and appropriate studies will be undertaken in patients receiving combination antiretroviral therapy when indicated,1
study interventions are vaccinium myrtillus/macleaya cordata/echinacea angustifolia extract granules, stage iii squamous cell carcinoma of the nasopharynx diagnosis and surgery with significant defect or flap in the oral cavity,1
study interventions are vorinostat, recurrent intraocular melanoma diagnosis and history of allergic reactions attributed to compounds of similar chemical biologic composition to vorinostat,1
study interventions are endothelial growth factors, recurrent adult brain neoplasm diagnosis and four grade two or greater or evidence of significant hemorrhage regardless of ctcae v,1
study interventions are vorinostat, multiple myeloma diagnosis and previous anti tumour therapies including prior experimental agents or approved anti tumour small molecules and biologics within twenty-eight days before the start of protocol treatment,1
